Stock Market,,,,,,
,,,,,,
,,,,,,
Ticker,Date,Open,High,Low,Close,Volume
AAPL,3/1/2025,145.67,147.89,144.22,146.95,12000000
MSFT,3/1/2025,283.45,285.76,281.34,284.65,NAT
TSLA,3/1/2025,780.12,790.56,775.89,785.45,10200000
AMZN,3/1/2025,3322.56,3350.34,3300.22,3335.76,NULL
FB,3/1/2025,267.43,270.12,265.89,268.78,5200000
GOOGL,3/1/2025,2923.34,NULL,2901.87,2940.12,6700000
NFLX,3/1/2025,592.65,600.23,NULL,598.01,7500000
NVDA,3/1/2025,732.56,740.9,730.12,737.85,11200000
BABA,3/1/2025,168.45,171.22,167.89,170.01,4800000
TSLA,3/2/2025,785.67,790.45,780.01,788.56,10300000
AAPL,3/2/2025,146.45,148.23,145.12,NULL,12300000
MSFT,3/2/2025,284.56,286.45,283.23,285.1,9700000
AMZN,3/2/2025,3330.12,3360.22,3315.89,3348.56,NULL
FB,3/2/2025,268.01,271.12,266.01,269.65,5100000
GOOGL,3/2/2025,2935.12,2960.23,2918.45,2950.56,6600000
NFLX,3/2/2025,595.34,Not Available,590.12,599.78,7600000
NVDA,3/2/2025,735.45,742.67,733.56,738.45,11300000
BABA,3/2/2025,170.12,172.01,169.01,171.67,4900000
TSLA,3/3/2025,788.45,792.56,784.23,790.12,10400000
AAPL,3/3/2025,147.89,149.45,146.78,148.56,12500000
MSFT,3/3/2025,285.12,287.67,284.45,286.78,NULL
AMZN,3/3/2025,3345.23,3370.45,3325.78,3359.45,8500000
FB,3/3/2025,269.34,271.56,267.12,270.01,5300000
GOOGL,3/3/2025,2952.12,2975.34,2930.45,2965.78,6800000
NFLX,3/3/2025,600.12,608.9,595.78,602.34,7700000
NVDA,3/3/2025,740.12,745.23,737.67,741.01,11400000
BABA,3/3/2025,171.01,173.45,169.34,NAV,5000000
TSLA,3/4/2025,790.45,795.56,785.34,793.45,10500000
AAPL,3/4/2025,148.23,150.12,147.45,149.01,12700000
MSFT,3/4/2025,286.78,289.45,285.67,287.12,9900000
AMZN,3/4/2025,3359.45,3385.23,3340.12,3370.45,8600000
FB,3/4/2025,270.01,272.34,268.01,271.23,5400000
GOOGL,3/4/2025,2968.34,2985.45,2945.12,2977.56,6900000
NFLX,3/4/2025,602.23,610.01,598.45,604.12,7800000
NVDA,3/4/2025,741.34,747.01,738.45,743.23,11500000
BABA,3/4/2025,172.45,174.01,170.45,173.34,5100000
TSLA,3/5/2025,792.23,797.45,788.12,795.23,10600000
AAPL,3/5/2025,149.45,151.01,148.78,150.12,12800000
MSFT,3/5/2025,287.45,290.12,286.01,288.23,10000000
AMZN,3/5/2025,3371.12,3395.67,3355.45,3380.45,8700000
FB,3/5/2025,271.12,273.01,269.23,272.45,NULL
GOOGL,3/5/2025,2980.23,3000.12,2965.45,2992.01,7000000
NFLX,3/5/2025,604.56,612.12,600.45,606.34,7900000
NVDA,3/5/2025,744.01,750.12,741.45,746.23,11600000
BABA,3/5/2025,173.56,175.23,171.78,174.45,5200000
